Question ,Question Id,Category,Country
If a single assessment: ,41,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If Product X is expected to be reimbursed, what level of innovation would Product X achieve? Do you expect full innovative status or conditionally innovative status? ",41.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What would be required for full innovation status? ,41.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What would be required for conditionally innovation status? ,41.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"Besides mOS, what other endpoints or data would influence obtaining innovation status? ",41.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Are there any additional restrictions that should be expected for Product X? ,42,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Probe restrictions to specific physicians? ,42.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Probe implementing a therapeutic plan? What would this include? ,42.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Would the cost of Product X be covered by a DRG? Why or why not? ,43,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If Product X is not reimbursed, what are alternative to facilitate access of Product X to patients? ",44,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Probe for early access program under Law 648 ,44.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Which regions will conduct their own evaluation? To what extent can they control access vs. provide recommendations? ,45,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If the EMA labeled indication is for advanced HER2+ aGC patients who have received a prior regimen, what is the likelihood AIFA would reimburse Product X in only 2L patients? ",46,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What do you anticipate to be the impact of AIFA’s two chambers merging on the HTA assessment of Product X?  ,47,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"Probe: there is the potential for possible new AIFA members with different priorities / mindsets, expenditure considerations ",47.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"If Product X receives EMA conditional approval, with the manufacturer conducting an additional follow-up study, will impact payer expectations? ",48,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
What would be the impact of the following additional evidence on the AIFA assessment: ,49,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Quality of life data? ,49.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Patient reported outcomes? ,49.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"Real-world data generated from the early access scheme (acces precoce) in 3L+ HER2+ aGC in FR, specifically time to discontinuation or death, overall survival, quality-of-life self-questionnaire, specific adverse events. The data would be collected over ~16 months in ~100 3L+ patients.  ",49.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Indirect treatment comparisons,49.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"What if the indirect treatment comparison is in an all-comers population (i.e., does not distinguish between HER2+ and HER2-)? ",49.d.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
"Moderator note: Product X performs better on mOS and mPFS than most 2L options (OS: HR=~0.2-0.5 versus other treatment options, >99% more likely to perform better than competitors) ",49.d.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Propensity score analysis of Trial B compared to matched cohort treated with Cyramza plus paclitaxel  ,49.e,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Health economic deliverables: cost-effectiveness and budget impact models ,49.f,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
How would the inclusion of Product X in the ESMO guidelines impact value perception? How would it impact your expectations for HTA outcomes? What about inclusion in national guidelines?  ,50,[Payer] aGC: Trial A & Trial B : HTA Assessment,Italy
Could innovative contracting address any of AIFA’s concerns?,51,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
"How do competitors (Cyramza, Lonsurf) inform your understanding on the likely type of contracting?",51.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
Which other innovative schemes can be leveraged? Probe the following potential innovative access strategies:,51.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
"Conditional agreements based on product utilization:

Patient caps (The total dose or cost per patient is capped – units consumed beyond the cap are provided for free) Duration-based contracts (Price per patient is reduced or increased over time or at specific patient milestones (e.g. price in the first four years of treatment is $100, after which it reduces to $80))

Duration-based contracts (Price per patient is reduced or increased over time or at specific patient milestones (e.g. price in the first four years of treatment is $100, after which it reduces to $80))

Cost-sharing (Manufacturer pays for the drug costs in the initial treatment phase. An alternative is paying for HRU costs (e.g. hospitalisation) during initiation. Usually administered through rebates)

Price/volume agreement / revenue cap (The price of the product is agreed on for a pre-defined volume of sales, beyond which a discount is applied. The repayment mechanism is usually a rebate or credit note, paid once the total annual sales are established)",51.b.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
"Outcomes based, conditional on costs or patient outcomes 

Performance-based (Common in oncology. Agreement that is contingent on the product resulting in certain patient relevant outcomes, which if not achieved will result in a rebate / price penalty) 

Pay for response based on clinical outcomes 

Pay for response based on adherence to treatment ",51.b.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
Indication-based pricing (Usually administered through rebates. Ex: Avastin in IT (used in multiple indications) has indication-specific risk-sharing agreement; when used in advanced colorectal cancer an additional 7% applies along with an annual budget cap),51.b.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
"What is your preference for the payback mechanism (i.e. upfront discount, rebate, payment/reimbursement contingent upon results)?",51.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
Price differentiation by line of treatment,51.b.iv.,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
"If implemented, would this be negotiated on top of a standard, straight discount?",51.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Italy]
"For the IPT (therapeutic positioning report) assessment, will the HER2+ aGC indication be prioritized, and would it be coordinated by RevalMed?",52,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What will be the likely outcome of the IPT?,53,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Will it go through an evaluation by AEMPS?,54,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Would this product be restricted to hospitals?,55,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Will separate reimbursement decisions be made for 2L HER2+ patients and 3L+ HER2+ patients?,56,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Will the Ministry of Health / regional payers consider the investigator’s choice comparator in Trial A be considered acceptable?,57,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What is the impact of the following attributes of Trial A on the assessment?,58,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Phase 2 design,58.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Asian population,58.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Clinical evidence: OS and ORR,58.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What is the impact of the following attributes of Trial B on the assessment?,59,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Phase 2 design,59.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Single-arm trial,59.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"If the single-arm design is not appropriate, what would be considered the appropriate clinical comparator for a 2L HER2+ aGC trial?",59.b.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Clinical evidence: OS and ORR,59.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
How important is cost-effectiveness and budget impact in the assessment?,60,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Do you expect any further restrictions independent of price?,61,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"If yes, probe: how would restrictions be enforced?",61.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What are your expectations of risk-sharing agreements at the regional level?,62,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
How do you expect regions to evaluate this product in addition to the IPT?,63,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Which regions do you expect to conduct their own evaluations?,63.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What would be the impact if dossiers were not submitted at a local / regional level?,64,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What would be the impact if the submission of regional dossiers was delayed until data availability of the phase 3 follow-on study?,65,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"If Product X is not reimbursed, what are alternative to facilitate access of Product X to patients?",66,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Quality of life data?,66.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Patient reported outcomes?,66.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"Real-world data generated from the early access scheme (acces precoce) in 3L+ HER2+ aGC in FR, specifically time to discontinuation or death, overall survival, quality-of-life self-questionnaire, specific adverse events. The data would be collected over ~16 months in ~100 3L+ patients. ",66.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Indirect treatment comparisons,66.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"What if the indirect treatment comparison is in an all-comers population (i.e., does not distinguish between HER2+ and HER2-)?",66.d.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Propensity score analysis of Trial B compared to matched cohort treated with Cyramza plus paclitaxel ,66.e,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Health economic deliverables: cost-effectiveness and budget impact models,66.f,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"If the EMA labeled indication is for advanced HER2+ aGC patients who have received a prior regimen, what is the likelihood AIFA would reimburse Product X in only 2L patients?",67,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What would be the impact of the following additional evidence on the IPT assessment: ,68,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Quality of life data?,68.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"Price/volume agreement / revenue cap (The price of the product is agreed on for a pre-defined volume of sales, beyond which a discount is applied. The repayment mechanism is usually a rebate or credit note, paid once the total annual sales are established)  Patient caps (The total dose or cost per patient is capped � units consumed beyond the cap are provided for free)  Duration-based contracts (Price per patient is reduced or increased over time or at specific patient milestones (e.g. price in the first four years of treatment is $100, after which it reduces to $80)) Cost-sharing (Manufacturer pays for the drug costs in the initial treatment phase. An alternative is paying for HRU costs (e.g. hospitalisation) during initiation. Usually administered through rebates)  Price/volume agreement / revenue cap (The price of the product is agreed on for a pre-defined volume of sales, beyond which a discount is applied. The repayment mechanism is usually a rebate or credit note, paid once the total annual sales are established)",68.a.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"Outcomes based, conditional on costs or patient outcomes Performance-based (Common in oncology. Agreement that is contingent on the product resulting in certain patient relevant outcomes, which if not achieved will result in a rebate / price penalty)  Pay for response based on clinical outcomes  Pay for response based on adherence to treatment",68.a.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Indication-based pricing (Usually administered through rebates. Ex: Avastin in IT (used in multiple indications) has indication-specific risk-sharing agreement; when used in advanced colorectal cancer an additional 7% applies along with an annual budget cap),68.a.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Patient reported outcomes?,68.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"Real-world data generated from the early access scheme (acces precoce) in 3L+ HER2+ aGC in FR, specifically time to discontinuation or death, overall survival, quality-of-life self-questionnaire, specific adverse events. The data would be collected over ~16 months in ~100 3L+ patients.",68.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Indirect treatment comparisons,68.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"What if the indirect treatment comparison is in an all-comers population (i.e., does not distinguish between HER2+ and HER2-)?",68.d.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"Moderator note: Product X performs better on mOS and mPFS than most 2L options (OS: HR=~0.2-0.5 versus other treatment options, >99% more likely to perform better than competitors)",68.d.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Propensity score analysis of Trial B compared to matched cohort treated with Cyramza plus paclitaxel,68.e,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Health economic deliverables: cost-effectiveness and budget impact models,68.f,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
How would the inclusion of Product X in the ESMO guidelines impact value perception? How would it impact your expectations for HTA outcomes? What about inclusion in national guidelines?,69,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Please refer to Slide 7 in the backgrounder where we provide the net prices of some current agents,69.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"[IT] Moderator Note: For awareness, IT Hypothesis is Cyramza + Paclitaxel in 2L and Lonsurf in 3L+",69.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What are your thoughts on Cyramza as a potential price reference? ,69.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What are your thoughts on irinotecan as a price reference? ,69.d,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Could innovative contracting address any concerns by the ministry of health?,70,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Which innovative schemes can be leveraged? Probe the following potential innovative access strategies:,70.a,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"Conditional agreements based on product utilization: 

Patient caps (The total dose or cost per patient is capped – units consumed beyond the cap are provided for free) 

Duration-based contracts (Price per patient is reduced or increased over time or at specific patient milestones (e.g. price in the first four years of treatment is $100, after which it reduces to $80)) 

Cost-sharing (Manufacturer pays for the drug costs in the initial treatment phase. An alternative is paying for HRU costs (e.g. hospitalisation) during initiation. Usually administered through rebates) 

Price/volume agreement / revenue cap (The price of the product is agreed on for a pre-defined volume of sales, beyond which a discount is applied. The repayment mechanism is usually a rebate or credit note, paid once the total annual sales are established) ",70.a.i,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"Outcomes based, conditional on costs or patient outcomes 

Performance-based (Common in oncology. Agreement that is contingent on the product resulting in certain patient relevant outcomes, which if not achieved will result in a rebate / price penalty) 

Pay for response based on clinical outcomes 

Pay for response based on adherence to treatment ",70.a.ii,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Indication-based pricing (Usually administered through rebates. Ex: Avastin in IT (used in multiple indications) has indication-specific risk-sharing agreement; when used in advanced colorectal cancer an additional 7% applies along with an annual budget cap),70.a.iii,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
Price differentiation by line of treatment,70.a.iv,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"What is your preference for the payback mechanism (i.e. upfront discount, rebate, payment/reimbursement contingent upon results)?",70.b,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
"If implemented, would this be negotiated on top of a standard, straight discount?",70.c,[Payer] aGC: Trial A & Trial B : HTA Assessment,[Spain]
What do you consider to be the appropriate price reference for Product X in 2L+ HER2+ aGC? Why? ,71,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
Please refer to Slide 7 in the backgrounder where we provide the net prices of some current agents ,71.a,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"[IT] Moderator Note: For awareness, IT Hypothesis is Cyramza + Paclitaxel in 2L and Lonsurf in 3L+ ",71.b,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What are your thoughts on Cyramza as a potential price reference?,71.c.,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What are your thoughts on irinotecan as a price reference?  ,71.d,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
[FR][IT][ES] What do you perceive of the list to net price assumption listed on the slide? Is this in line with your understanding? ,72,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"Moderator note: Assumption are: 

[FR] ~40% 

[IT] ~60% for Opdivo / Keytruda, ~40% for Cyramza / Lonsurf 

[ES] ~40% ",72.i,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
Are there indirect price references or benchmarks you also consider to be potential references?,73,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"Moderator note: If generic chemotherapy is a reference, probe strategies or additional evidence to avoid this reference",73.a,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"Moderator note: For awareness, potential references include Cyramza, Lonsurf, Irinotecan, Docetaxel, Opdivo, Keytruda, ADCs (Kadcyla)",73.b,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
Moderator Price Reference Table (rounded prices) – aGC,74,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"If �no additional benefit� expected, how would the price reference basket be defined? What are your price expectations in this scenario?",74.a,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"If an additional benefit rating is expected, what price do you think the GKV would seek to negotiate for Product X? ",74.b,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"How can VAMs (""informal comparators"") be leveraged for price negotiation, e.g. Cyramza, Pembrolizumab?",74.b.i,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"For hypothetical Product X, what net price per month would you consider to be:",75,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"[DE] Given your expectations for the G-BA assessment (additional benefit rating), what net price do you expect to be negotiated by the G-KV (federal association of sick funds)?",76,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"If “no additional benefit” expected, how would the price reference basket be defined? What are your price expectations in this scenario?",76.a,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"If an additional benefit rating is expected, what price do you think the GKV would seek to negotiate for Product X?",76.b,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"How can VAMs (""informal comparators"") be leveraged for price negotiation, e.g. Cyramza, Pembrolizumab?",76.b.i,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"[FR][Only if ASMR score allows for liste-en-sus] Considering the ASMR score you expect for Product X, and if Product X were included in liste-en-sus, what price do you think CEPS would seek to negotiate for Product X if the full expected patient population is included in the price-volume agreement?",77,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What factors will be most influential in price negotiations for Product X,77.a,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What information or data can be provided to increase pricing potential or broaden access? ,77.b,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What are you expectations for regional prices?,77.c,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
[FR] What would be the level of rebates expected if Product X were to exceed the volume in the agreement?,78,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"[IT/ES] Considering the evaluation outcome you expect for Product X, what price do you think national authorities would seek to negotiate for Product X for access to the labeled population?",79,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What factors will be most influential in price negotiations for Product X,79.a,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
[FR] Probe 3 years,79.a.i,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What information or data can be provided to increase pricing potential or broaden access?,79.b,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What are you expectations for regional prices? ,79.c,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
Please refer to Exhibit 3. What is the likelihood that each price could be achieved in price negotiations for Product X?,80,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
Could the ongoing Trial C mitigate any concerns around Trial A and Trial B? ,80.a,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"If conditional approval is possible, at what point would the manufacturer need to present confirmatory Trial C data",80.b,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
Would interim analysis be accepted?,80.b.i,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
Would immature OS data be accepted?,80.b.ii,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
What would occur if the confirmatory trial data was delayed? ,80.b.iii,[Payer] aGC: Trial A & Trial B: Standalone Price Assessment ,none
"[FR][IT][ES] If you were aware Trial C was ongoing, to what extent do you believe that a conditional HTA would be provided for Product X, with a requirement to re-submit on the basis of comparative data?",81,[Payer] aGC: Trial C: Impact on HTA & Price,none
"If a conditional HTA was granted, is there a time limit to submission of the confirmatory trial data?",81.a,[Payer] aGC: Trial C: Impact on HTA & Price,none
[FR] Probe 3 years,81.a.i,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[DE] For the G-BA assessment, specifically the level of added benefit",81.b,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[IT] For AIFA�s assessment, specifically reimbursement of Product X and innovation status?",81.c,[Payer] aGC: Trial C: Impact on HTA & Price,none
[ES] For the IPT and reimbursement of Product X?,81.d,[Payer] aGC: Trial C: Impact on HTA & Price,none
Would this impact your likelihood of making separate assessments of Trials A and B? Please explain ,81.e,[Payer] aGC: Trial C: Impact on HTA & Price,none
What is driving this change?,81.f,[Payer] aGC: Trial C: Impact on HTA & Price,none
"Probe acceptability of comparator, trial population, magnitude of OS",81.f.i,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[FR][ES][IT] If reimbursement is not expected with Trials A and B, how could Trial C be leveraged to obtain conditional reimbursement with initial assessment of Product X, and possibly better HTA outcomes?",82,[Payer] aGC: Trial C: Impact on HTA & Price,none
Could the ongoing Trial C mitigate any concerns around Trial A and Trial B?,82.a,[Payer] aGC: Trial C: Impact on HTA & Price,none
"If conditional approval is possible, at what point would the manufacturer need to present confirmatory Trial C data",82.b,[Payer] aGC: Trial C: Impact on HTA & Price,none
Would interim analysis be accepted?,82.b.i,[Payer] aGC: Trial C: Impact on HTA & Price,none
Would immature OS data be accepted?,82.b.ii,[Payer] aGC: Trial C: Impact on HTA & Price,none
What would occur if the confirmatory trial data was delayed?,82.b.iii,[Payer] aGC: Trial C: Impact on HTA & Price,none
Will it be possible for Product X�s price to increase from its initial launch price with this additional data?,82.c,[Payer] aGC: Trial C: Impact on HTA & Price,none
"If data from Trial C becomes available after initial assessment of Product X, how would this impact your expectations:",83,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[FR] For the TC’s assessment, specifically the SMR and ASMR ratings",83.a,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[DE] For the G-BA assessment, specifically the level of added benefit",83.b,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[IT] For AIFA’s assessment, specifically reimbursement of Product X and innovation status?",83.c,[Payer] aGC: Trial C: Impact on HTA & Price,none
[ES] For the IPT and reimbursement of Product X?,83.d,[Payer] aGC: Trial C: Impact on HTA & Price,none
Would this impact your likelihood of making separate assessments of Trials A and B? Please explain,83.e,[Payer] aGC: Trial C: Impact on HTA & Price,none
What is driving this change?,83.f,[Payer] aGC: Trial C: Impact on HTA & Price,none
"Probe acceptability of comparator, trial population, magnitude of OS ",83.f.i,[Payer] aGC: Trial C: Impact on HTA & Price,none
Would availability of data from Trial C trigger a price re-negotiation? Why or why not?,84,[Payer] aGC: Trial C: Impact on HTA & Price,none
"If yes, how could Trial C impact price expectations?",84.a,[Payer] aGC: Trial C: Impact on HTA & Price,none
"If a price re-negotiation was to happen, would payers proactively trigger it, or would it need to be initiated by the manufacturer?",84.b,[Payer] aGC: Trial C: Impact on HTA & Price,none
Will it be possible for Product X’s price to increase from its initial launch price with this additional data?,84.c,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[IT][ES] If the manufacturer instead waits to launch Product X until data from all 3 trials is available, how would this impact your expectations:",85,[Payer] aGC: Trial C: Impact on HTA & Price,none
"[IT] For AIFA’s assessment, specifically reimbursement of Product X and innovation status?",85.a,[Payer] aGC: Trial C: Impact on HTA & Price,none
[ES] For the IPT and reimbursement of Product X?,85.b,[Payer] aGC: Trial C: Impact on HTA & Price,none
What is driving this change?,85.c,[Payer] aGC: Trial C: Impact on HTA & Price,none
"What if instead, the data for Trial C showed a HR of 0.8.",86,[Payer] aGC: Trial C: Impact on HTA & Price,none
How would this impact your perceptions of Trial C?,86.a,[Payer] aGC: Trial C: Impact on HTA & Price,none
Would this impact your expectations for how Trial C could impact HTA outcomes or price?,86.b,[Payer] aGC: Trial C: Impact on HTA & Price,none
"What if instead, the data for Trial C showed an OS of ~12 months (similar to the OS in Trial B)? ",87,[Payer] aGC: Trial C: Impact on HTA & Price,none
How would this impact your perceptions of Trial C?,87.a,[Payer] aGC: Trial C: Impact on HTA & Price,none
Would this impact your expectations for how Trial C could impact HTA outcomes or price?,87.b,[Payer] aGC: Trial C: Impact on HTA & Price,none
Do your perceptions of clinical burden differ for HER2+ patients compared to wild type aGC patients?,87.c,[Payer] aGC: Trial C: Impact on HTA & Price,none
[Pre-Interview Worksheet] Please refer to Slide 11 in the backgrounder which provides estimates on the 2L+ HER2m mNSCLC total eligible population size. Do these estimates align with your understanding of the population size in your market?,88,mNSCLC: Landscape,none
"What are your perceptions of the total eligible population size, and how small it is?",88.a,mNSCLC: Landscape,none
What are the major drivers of economic burden for patients? ,88.b,mNSCLC: Landscape,none
Do your perceptions of economic burden differ for HER2+ patients compared to wild type aGC patients?,88.c,mNSCLC: Landscape,none
"[Pre-Interview Worksheet] Relative to other solid tumors, how would you rate the clinical burden for 2L+ HER2m mNSCLC, on a scale of 1 to 5, where 1=no burden, 3=moderate burden, and 5=very high burden? Note: clinical burden is defined as (overall morbidity, mortality, and quality of life implications",89,mNSCLC: Landscape,none
Probe rationale for ratings.,89.a,mNSCLC: Landscape,none
What are the major drivers of clinical burden for patients?,89.b,mNSCLC: Landscape,none
Do your perceptions of clinical burden differ for HER2+ patients compared to wild type aGC patients?,89.c,mNSCLC: Landscape,none
[KOL] What are the weaknesses of current treatment options? ,89.d,mNSCLC: Landscape,none
"[Pre-Interview Worksheet] Relative to other solid tumors, how would you rate the overall economic burden to the health system (defined as the direct and indirect costs of the disease) associated with 2L+ HER2m mNSCLC on a scale of 1 to 5, where 1=no burden, 3=moderate cost burden, and 5=very high cost burden?",90,mNSCLC: Landscape,none
Probe rationale,90.a,mNSCLC: Landscape,none
What are the major drivers of economic burden for patients?,90.b,mNSCLC: Landscape,none
"Moderator note: examples of drivers of economic burden include cost of treatment (cost of chemotherapy, cost of branded agents), cost of hospitalization, caregiver burden, size of the patient population",90.b.i,mNSCLC: Landscape,none
Do your perceptions of economic burden differ for HER2+ patients compared to wild type aGC patients?,90.c,mNSCLC: Landscape,none
[KOL] Does targeting HER2m drive prognosis? ,90.d,mNSCLC: Landscape,none
"[Pre-Interview Worksheet] Please refer to the backgrounder which includes the ESMO 2022 treatment guidelines for mNSCLC. How satisfied are you with the available treatment options for 2L+ HER2m mNSCLC? where 1=not satisfied at all, 3=moderately satisfied, and 5=very satisfied?",91,mNSCLC: Landscape,none
"Probe rationale (i.e., number of treatment options, efficacy of these, etc.)",91.a,mNSCLC: Landscape,none
"[KOL] Please describe your current approach to treating and managing HER2m mNSCLC patients who have progressed after their first line of therapy, and if this aligns with the treatment algorithm shown",91.b,mNSCLC: Landscape,none
[DE] What are your perceptions of the updated S3 guidelines?,91.c,mNSCLC: Landscape,none
[DE][KOL] Do the current guidelines (S3-Leitlinie) reflect the real-world use of treatments for patients HER2+ mNSCLC?,91.d,mNSCLC: Landscape,none
[KOL] What are the weaknesses of current treatment options?,91.e,mNSCLC: Landscape,none
"[Pre-Interview Worksheet] What is your perception of the level of unmet need for a new treatment in 2L+ HER2m mNSCLC on a scale of 1 to 5, where 1=no unmet need, 3=moderate unmet need, and 5=very high unmet need?",92,mNSCLC: Landscape,none
Probe rationale.,92.a,mNSCLC: Landscape,none
What are the key unmet needs in 2L+ HER2+ aGC?,92.b,mNSCLC: Landscape,none
Do your perceptions of unmet need differ for HER2+ patients compared to wild type aGC patients?,92.c,mNSCLC: Landscape,none
[KOL] Does targeting HER2m drive prognosis?,92.d,mNSCLC: Landscape,none
